Symbol,Volume
AAL,30541902.000000
AAME,35275.000000
AAOI,456328.000000
AAON,37186.000000
AAPL,54350605.000000
AAWW,226471.000000
AAXJ,616787.000000
ABCB,365623.000000
ABEO,2207399.000000
ABIO,549743.000000
ABMD,115038.000000
ABTX,19050.000000
ABUS,954615.000000
ACAD,424071.000000
ACBI,36454.000000
ACET,131632.000000
ACGL,3245900.000000
ACHC,194709.000000
ACIW,156704.000000
ACLS,137155.000000
ACNB,3721.000000
ACOR,117215.000000
ACRS,156449.000000
ACRX,1345449.000000
ACST,11814789.000000
ACTG,464941.000000
ACUR,541.000000
ACWI,1455369.000000
ACWX,615255.000000
ADAP,333555.000000
ADBE,1095351.000000
ADES,116313.000000
ADI,968568.000000
ADMA,1698185.000000
ADMP,4353606.000000
ADMS,212081.000000
ADP,462726.000000
ADRE,26773.000000
ADSK,542148.000000
ADTN,101580.000000
ADUS,53461.000000
ADVM,366943.000000
ADXS,6667737.000000
AEGN,84626.000000
AEHR,149322.000000
AEIS,65727.000000
AEMD,152023.000000
AERI,468138.000000
AEY,19169.000000
AEZS,3273292.000000
AFMD,717105.000000
AGEN,1910052.000000
AGFS,58600.000000
AGIO,331048.000000
AGLE,105650.000000
AGNC,2493967.000000
AGNCP,13379.000000
AGRX,784904.000000
AGTC,1178731.000000
AGYS,100931.000000
AGZD,8460.000000
AHPI,29290.000000
AIA,86480.000000
AIMC,175710.000000
AINV,189996.000000
AIQ,18760.000000
AIRG,128678.000000
AIRR,28689.000000
AIRT,8044.000000
AKAM,736020.000000
AKBA,2439846.000000
AKER,174421.000000
AKTX,37866.000000
ALCO,21185.000000
ALDX,241460.000000
ALGN,345529.000000
ALGT,69291.000000
ALIM,5675.000000
ALJJ,140750.000000
ALKS,731338.000000
ALLT,78608.000000
ALNY,224855.000000
ALOT,34053.000000
ALRM,136278.000000
ALSK,249529.000000
ALTY,9984.000000
ALXN,1303234.000000
AMAT,3281687.000000
AMBA,2381809.000000
AMBC,187855.000000
AMCX,629564.000000
AMD,23459818.000000
AMED,99037.000000
AMGN,930284.000000
AMKR,667269.000000
AMNB,7778.000000
AMOT,4702.000000
AMOV,1413.000000
AMPH,81700.000000
AMRB,2314.000000
AMRK,151513.000000
AMRN,2926209.000000
AMRS,4890834.000000
AMSC,94295.000000
AMSF,18286.000000
AMSWA,50649.000000
AMTX,3897842.000000
AMWD,27984.000000
AMZN,1792158.000000
ANAT,11048.000000
ANDA,22157.000000
ANDAR,86560.000000
ANDAU,0.000000
ANDAW,88190.000000
ANDE,102340.000000
ANGI,726474.000000
ANGO,60789.000000
ANIK,16082.000000
ANIP,9958.000000
ANSS,329436.000000
ANTH,254472.000000
ANY,222260.000000
AOSL,103040.000000
APDN,309761.000000
APEI,85805.000000
APOG,60630.000000
APOP,107506.000000
APOPW,12621.000000
APPF,190020.000000
APPS,2581743.000000
APTO,554479.000000
APVO,46060.000000
APWC,63958.000000
AQMS,1093177.000000
ARAY,393197.000000
ARCB,190566.000000
ARCC,1200803.000000
ARCW,19056.000000
ARDX,409748.000000
ARKR,17428.000000
ARLP,317162.000000
ARNA,768528.000000
AROW,23369.000000
ARRY,909703.000000
ARTNA,8102.000000
ARTW,28004.000000
ARWR,331054.000000
ASET,1514.000000
ASMB,1314799.000000
ASML,445365.000000
ASND,135202.000000
ASPS,14422.000000
ASRV,49948.000000
ASRVP,0.000000
ASTC,552044.000000
ASTE,29185.000000
ASUR,17274.000000
ASYS,65801.000000
ATAX,36613.000000
ATEC,265550.000000
ATHX,1861184.000000
ATLC,88151.000000
ATLO,43583.000000
ATNI,7011.000000
ATOS,4883280.000000
ATRA,510895.000000
ATRC,166250.000000
ATRI,4696.000000
ATRO,200600.000000
ATRS,1576498.000000
ATSG,97758.000000
ATVI,2387272.000000
